Year,Month,Day,Country,Region,city,latitude,longitude,AttackType,Killed,Wounded,Group,Target_type,Sub_Target,success,suicide,Weapon_type,Sub_Weapon_type,Motive,Summary,addnotes,Total_num,casualities
2001,2,17,Iran,Middle East & North Africa,Qasr-e-Shirin,34.514806,45.579741,Bombing/Explosion,,,Mujahedin-e Khalq (MEK),Military,Military Barracks/Base/Headquarters/Checkpost,1,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",Unknown,"02/17/2001: Three mortar shells exploded in Qasr-e-Shirin, Iran which lies near the border with Iraq. The People's Mujahideen, the Iraq-based Iranian armed opposition group, claimed responsibility in a statement faxed to Agence France Presse. Iran’s government did not release any casualty information regarding the attack.","This was one of two related attacks (cf. 200102140001; 200102170001). In their statement, the People's Mujahideen said that its forces had carried out nine operations inside Iran on the same date, although not all of the attacks could be confirmed.",,0
2001,4,7,Nepal,South Asia,Dailekh district,28.928657,81.649221,Unknown,38.0,,Communist Party of Nepal- Maoist (CPN-M),Police,"Police Building (headquarters, station, school)",1,0,Unknown,,Unknown,"04/07/2001: Suspected Nepal Communist Party (Maoist) members attacked a police post in Naumule, Nepal. At least 28 officers and 10 Maoists died in the incident (wounded unspecified).","41 soldiers were reported missing in this incident; however, there was no report of the soldiers being kidnapped.",,0
2001,4,10,Nepal,South Asia,Dulapani,28.048333000000003,84.237222,Assassination,1.0,0.0,Communist Party of Nepal- Maoist (CPN-M),Government (General),Politician or Political Party Movement/Meeting/Rally,1,0,Firearms,Unknown Gun Type,Unknown,"04/10/2001: At least six Maoist militants assassinated the treasurer of the Nepali Congress Tanahu District committee, Bishnu Prasad Jamarkattel, in the Tanahu District of Nepal.",,1.0,1
2001,5,30,Myanmar,Southeast Asia,Myawadi,16.687778,98.508333,Armed Assault,1.0,5.0,Karen National Union,Private Citizens & Property,Vehicles/Transportation,1,0,Firearms,Unknown Gun Type,Unknown,"05/30/2001: Near Myawadi, Myanmar, the Karen National Union (KNU) attacked a passenger vehicle with firearms and rocket launchers, injuring five and killing one. The defense service responded to the incident, but no perpetrators were captured.",An additional report claimed that the incident was fabricated in order to label the Karen National Union (KNU) a terrorist organization.,6.0,1
2001,6,14,Pakistan,South Asia,Multan,30.174961,71.487732,Armed Assault,2.0,5.0,Lashkar-e-Jhangvi,Private Citizens & Property,Religion Identified,1,0,Firearms,Unknown Gun Type,"Although the specific motive was unknown, sources note that sectarian violence in the area has been rampant, and many attacks have been carried out by Lashkar-e-Jhangvi.","06/14/2001: Two people were killed and at least five were wounded when at least three gunmen wearing masks rode up on motorcycles and starting shooting at people sitting outside a medical store in Mumtazabad, Punjab province, Pakistan.  Among those wounded or killed were members of both the Sunni and Shiite communities.  Authorities claimed the gunmen were part of the Lashkar-e-Jhangvi Sunni militant group, although no group claimed responsibility for the attack.","Shiite citizens in the area rioted after the attack, causing authorities to increase security in the area.  One of the sources says that there were five shooters on two motorcycles, while another said there were three shooters.  One source says that six people were wounded and they were all Shiites sitting outside a mosque, while another says five people were wounded and they were all sitting outside a medical store.  However, since one of the sources listed a shopkeeper among the victims, it seemed that the medical store was the more likely setting.",7.0,1
2001,7,7,Uganda,Sub-Saharan Africa,Jinja,0.5345260000000001,33.302908,Bombing/Explosion,0.0,8.0,Rebels,Business,Restaurant/Bar/Café,1,0,Explosives/Bombs/Dynamite,Time Fuse,"Although the specific motive for the attack was not known, sources suggested that rebels unhappy with the current government regime were behind the bombing.","07/07/2001: Eight people were wounded when a bomb connected to a timer was left under a bar chair in the Scindia Road bar named Mango in Jinja, Busoga subregion, Ugada at 9:25pm.  Authorities described the bomb as an improvised explosive device.  No group claimed responsibility for the attack, although it was suggested that rebels displeased with the current government regime were responsible.",,8.0,1
2001,7,7,Uganda,Sub-Saharan Africa,Jinja,0.5345260000000001,33.302908,Bombing/Explosion,1.0,2.0,Rebels,Business,Restaurant/Bar/Café,1,0,Explosives/Bombs/Dynamite,Time Fuse,"Although the specific motive was not known, sources suggested that rebels displeased with the current government regime were responsible.","07/07/2001: Three people were wounded when a bomb connected to a timer and left under a bar counter in the Main Street bar named Lilian's in Jinja, Uganda around 9:30pm.  One of those wounded, Moses Ngobi, later died of his injuries.  The bomb was described as an improvised explosive device.  No group claimed responsibility for the attack, although sources suggested rebels unhappy with the current government regime were the perpetrators.","The number of injured ranged from three to five.  The source that said three were injured was the latest source, and notes that the person injured later died.",3.0,1
2001,7,7,Uganda,Sub-Saharan Africa,Jinja,0.5345260000000001,33.302908,Bombing/Explosion,0.0,1.0,Rebels,Business,Retail/Grocery/Bakery,1,0,Explosives/Bombs/Dynamite,Time Fuse,"Although the specific motive for the attack was unknown, sources suggested that rebels unhappy with the current government regime were behind the attack.","07/07/2001: A bomb connected to a timer and left in a stall selling food in Jinja, Busoga subregion, Uganda, exploded, injuring the woman running the food stall.  The bomb was though to have detonated shortly after the two bombs on Main Street and Scindia road in Jinja, Busoga subregion, Uganda.  The bomb was described as an improvised explosive device.  No group claimed responsibility for the attack, although sources suggested that rebels may have been expressing their dissent against the current government regime.","One of the sources says the bombing occurred on the porch of a hotel, while two others said it occurred at a food stall.",1.0,1
2001,7,22,Burundi,Sub-Saharan Africa,Bujumbura,-3.382942,29.367103000000004,Armed Assault,3.0,,Tutsi,Government (General),Government Building/Facility/Office,0,0,Unknown,,"The Tutsi rebels were trying to overthrow the current government regime.  A Tutsi President was currently in power, but he was seen as sympathetic to Hutus and Tutsis feared another genocide in their country.  Sources note that this was not the first coup attempt in the country.","07/22/2001: Two soldiers and a high-ranking officer were killed when Tutsi rebels attempted to overthrow the current government regime in Bujumbura, Kayanza province, Burundi.  When the rebels realized the coup attempt had failed, they split into two groups and fled, taking Libere Hicuburundi, an army Brigadier-General, with them.  The rebels surrendered twelve hours later in Ngozi and at a camp in Kayanza.  Hicuburundi was thought to have been released unharmed.",The rebels were thought to have committed robbery and other crimes while they were on the run.  They later surrendered and were being questioned by government officials in an Ngozi prison.  Authorities were in the process of determining what their punishment should be.,,0
2001,8,7,India,South Asia,Sonamarg,34.303162,75.293111,Unarmed Assault,0.0,2.0,Lashkar-e-Jhangvi,Educational Institution,Teacher/Professor/Instructor,1,0,Chemical,,The school teachers were attacked for being unveiled in public.,"08/07/2001: Lashkar-e-Jhangvi (LeJ) members threw acid on two female school teachers, who were attacked when they were returning from a picnic in Sonmarg, Jammu and Kashmir, India. One of them received severe burns on her face and chest.","This was one of two related attacks. (cf. 200108070002; 200108070018). Lashkar-e Taiba and Hizb-ul-Mujahideen, two other Islamist separatist organizations in Kashmir, condemned the attacks. Lashkar-e-Jabbar said the attack was the beginning of a campaign to prevent immodest dress among Kashmiri women.",2.0,1
2001,8,7,India,South Asia,Srinagar,34.083658,74.797368,Unarmed Assault,0.0,2.0,Lashkar-e-Jhangvi,Private Citizens & Property,Named Civilian,1,0,Chemical,,The school girls were attacked for being unveiled.,"08/07/2001: Lashkar-e-Jhangvi (LeJ) claimed responsibility for an acid attack on two school girls outside their home in Srinagar, Jammu and Kashmir, India. The face of one girl, Kulsooma, was badly charred as a result of this incident.","This was one of two related attacks. (cf. 200108070002; 200108070018). Lashkar-e Taiba and Hizb-ul-Mujahideen, two other Islamist separatist organizations in Kashmir, condemned the attacks. Lashkar-e-Jabbar said the attack was the beginning of a campaign to prevent immodest dress among Kashmiri women.",2.0,1
2001,9,11,United States,North America,New York City,40.712784,-74.005941,Hijacking,1383.0,7366.0,Al-Qaida,Private Citizens & Property,Unnamed Civilian/Unspecified,1,1,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown,"09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the first attack, which occurred at 8:46 am local time, American Airlines Flight 11 crashed into the North Tower of the World Trade Center Complex in New York City, New York. Five hijackers belonging to Al-Qaida took control of the Boeing 767 aircraft on a flight originating from Logan International Airport in Boston, Massachusetts, and destined for Los Angeles International Airport. There were 76 passengers, 11 crew members and five hijackers on the plane, all of whom died upon impact. The North Tower collapsed at 10:28 a.m. local time after the South Tower had collapsed at 9:59 a.m. local time.  A combined total of 2,764 people died in the World Trade Center attacks and thousands of others were injured.  Al-Qaida leaders such as Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews over the next few years.","This attack was one of four related incidents (cf. 200109110004-07). Three people including two attendants, Karen Martin and Barbara Arestegui, were stabbed or had their throats slashed by the hijackers. American Airlines Flight 11 departed from Boston's Logan International Airport at 7:59 am local time. The 9/11 Commission estimated that the hijacking began at 8:14 am. Since the aircraft crashed into the North Tower at 8:46 am, the hijacking lasted 32 minutes. Details on the number of people wounded in the attacks are very difficult to determine. The numbers reported in the GTD are conservative estimates for immediate casualties, first responders, and residents, based on documentation for the Septermber 11th Victims Compensation Fund (VCF).",8749.0,1
2001,9,11,United States,North America,New York City,40.712784,-74.005941,Hijacking,1382.0,7365.0,Al-Qaida,Private Citizens & Property,Unnamed Civilian/Unspecified,1,1,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown,"09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the second of these attacks, which occurred at 9:03 a.m. local time, United Airlines Flight 175 crashed into the South Tower of the World Trade Center Complex in New York City, New York. Five hijackers belonging to Al-Qaida, hijacked the Boeing 767 aircraft on a flight originating from Logan International Airport in Boston, Massachusetts, and destined for Los Angeles International Airport. There were 56 passengers, nine crew members and five hijackers on the plane, all of whom died upon impact.  The South Tower collapsed at 9:59 a.m. local time, killing all who were trapped inside or located nearby.  The North Tower collapsed, after having been struck by American Airlines Flight 11, at 10:28 a.m. local time.  A total of 2,764 people died in the two World Trade Center attacks. Al-Qaida leaders such as Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews over the following years.","This attack was one of four related incidents (cf. 200109110004-07). Flight attendant, Robert Fangman, called a United Airlines office in San Francisco and spoke with Marc Policastro. He reported the hijacking and said that both pilots had been killed. He also reported that a flight attendant was stabbed and said that the hijackers were flying the plane. United Flight 175 departed from Boston's Logan International Airport at 8:14 am local time. At 8:47 am, air traffic control received the first indications that the plane was hijacked. Since the airplane impacted the South Tower at 9:03 am, the length of the hijacking was at least 16 minutes. The second aircraft seized was United Airlines flight 175, which was scheduled to depart from Logan at 8:00 and fly directly to Los Angeles. Details on the number of people wounded in the attacks are very difficult to determine. The numbers reported in the GTD are conservative estimates for immediate casualties, first responders, and residents, based on documentation for the Septermber 11th Victims Compensation Fund (VCF).",8747.0,1
2001,9,11,United States,North America,Arlington,38.880777,-77.108273,Hijacking,189.0,106.0,Al-Qaida,Government (General),Government Building/Facility/Office,1,1,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown,"09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the third of these attacks, which occurred at 9:37 am local time, American Airlines Flight 77 crashed into the Pentagon in Arlington, Virginia.  Five hijackers belonging to Al-Qaida, hijacked the Boeing 757 aircraft on a flight from originating from Washington Dulles International Airport destined for Los Angeles International Airport and proceeded to fly the plane into the western side of the Pentagon.  There were 53 passengers, six crew members and five hijackers on the plane, all of whom died upon impact. In addition, 125 people died in the Pentagon due to the impact or in the resulting fire. Al-Qaida leaders such as Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews over the following years.","This attack was one of four related incidents (cf. 200109110004-07). As the aircraft approached the Pentagon it clipped several street lamps, one of which fell onto a taxi cab, injuring the driver, Lloyd England. The aircraft's right wing hit a portable generator that provided backup power for the Pentagon and the left engine hit an external steam vault before it slammed into the Pentagon. American Airlines Flight 77 departed Washington Dulles International Airport at 8:20 am local time. The airplane was hijacked sometime between 8:51 and 8:54 am. Since the aircraft crashed into the Pentagon at 9:37 am, the hijacking lasted between 40-43 minutes. Details on the number of people wounded in the attacks are very difficult to determine. The numbers reported in the GTD are conservative estimates for immediate casualties, first responders, and residents, based on documentation for the Septermber 11th Victims Compensation Fund (VCF).",295.0,1
2001,9,11,United States,North America,Shanksville,40.018464,-78.907197,Hijacking,44.0,5.0,Al-Qaida,Private Citizens & Property,Unnamed Civilian/Unspecified,1,1,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown,"09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the fourth of these attacks, occurring at 10:03 am local time, United Airlines Flight 93, a Boeing 757 passenger airplane, crashed en route from Newark, New Jersey to San Francisco, California. The airliner crashed in a rural area of Pennsylvania near the town of Shanksville following a struggle for control of the plane between the passengers and four hijackers. All 33 passengers, seven crew members, and four hijackers were killed in the crash. Five first responders were injured. Al-Qaida leaders such as Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews over the following years. Mohammed indicated in a 2002 interview with the Doha-based Al Jazeera News Network that the intended target of Flight 93 had been the United States Capitol Building located in Washington, DC.","This attack was one of four related incidents (cf. 200109110004-07). The passengers attempted to retake control of the airplane after receiving word that other hijacked aircraft had been crashed into the World Trade Center buildings in New York City and the Pentagon in Arlington, Virginia. The attackers evidentially gave the order to crash the plane once they realized they could not maintain control of the vehicle to carry out their mission. United Airlines Flight 93, departing from Newark International Airport at 8:42 am local time, crashed at 10:03 am. Air traffic controllers believed that the hijackers took over the airplane at 9:28 am, so the hijacking lasted for 35 minutes before Flight 93 crashed.",49.0,1
2001,11,10,Colombia,South America,Unknown,,,Hostage Taking (Kidnapping),1.0,0.0,Rebels,NGO,International NGO,1,0,Unknown,,"Although the specific motive was unknown, it was thought that aid workers who were working to fulfill the goals of the United States to rid Colombia of drugs were being targeted.","11/10/2001: Rebels kidnapped and killed a worker for an aid program with support from the United States in Colombia.  Although no group claimed responsibility for the attack, sources claim that the rebels claimed the worker was working with the military.",,1.0,1
2001,11,10,Colombia,South America,Unknown,,,Hostage Taking (Kidnapping),0.0,0.0,Rebels,NGO,International NGO,1,0,Firearms,,"Although the specific motive was not known, it was thought that aid workers were being targeted as they were helping rid Colombia of drugs.",11/10/2001: Rebels kidnapped a worker for a program providing aid in the area with the support of the United States in Colombia.  The worker was questioned and made to undergo Russian Roulette.  No group claimed responsibility for the attack.,,0.0,0
2001,11,10,Colombia,South America,Unknown,,,Hostage Taking (Kidnapping),,,Rebels,Private Citizens & Property,Laborer (General)/Occupation Identified,1,0,Melee,Rope or Other Strangling Device,"Although the specific motive was unknown, sources describe the ongoing violence perpetrated by rebels against civilians and others in Colombia.",11/10/2001: Suspected rebels kidnapped a scientist who specialized in turning plant life into food and other usable materials in Colombia.  The rebels then tied up the scientist to a tree.  No group claimed responsibility for the attack.,,,0
2001,11,23,Nepal,South Asia,Dang district,27.988744,82.301773,Armed Assault,29.0,0.0,Communist Party of Nepal- Maoist (CPN-M),Military,"Military Personnel (soldiers, troops, officers, forces)",1,0,Firearms,Unknown Gun Type,Unknown,"11/23/2001: Around 1,000 Nepal Communist Party (Maoist) attacked Nepal Army barracks in Dang District, Rapti Zone, Nepal. 14 Nepal soldiers and as many as 15 perpetrators were killed.",,29.0,1
2001,11,24,Nepal,South Asia,Harredanda,28.630959000000004,81.702524,Armed Assault,5.0,5.0,Communist Party of Nepal- Maoist (CPN-M),Police,Police Security Forces/Officers,1,0,Firearms,Unknown Gun Type,Unknown,"11/24/2001: Nepal Communist Party (Maoist) members ambushed a Nepal police vehicle carrying security personnel at Harredanda, Surkhet District, Nepal, killing five and injuring five.",,10.0,1
2001,11,25,Nepal,South Asia,Salleri,27.504281,86.58681,Bombing/Explosion,,,Communist Party of Nepal- Maoist (CPN-M),Airports & Aircraft,Airport,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"11/25/2001: At least six-hundred Nepal Communist Party (Maoist) members attacked and destroyed the Phaplu airport tower and several police and government offices in Salleri, Solu District, Nepal. The number of the casualties that resulted from this attack was not reported.","Reports conflicted regarding the number of Maoists that participated in the attack. The number of Maoists reported to have participated in the attack ranged from 600-2,000.",,0
2001,12,22,France,Western Europe,Paris,48.856614,2.3522220000000003,Bombing/Explosion,0.0,1.0,Al-Qaida,Airports & Aircraft,Aircraft (not at an airport),0,1,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),Unknown,"12/22/2001: On American Airlines Flight 63 en route to Miami, Florida, from Paris, France, Richard Reid attempted to detonate explosives in his shoes by igniting them with a match.  After several attempts Reid was unsuccessful, possibly due to moisture on the fuse, and was restrained by passengers when a flight attendant smelled sulphur from the lit match.  Doctors on board sedated Reid while the flight was escorted to Boston's Logan Airport by two U.S. Air Force F-15 fighter jets.  All 185 passengers and 12 crew members were safely removed; several had minor injuries including a flight attendant who was bitten by the perpetrator when she confronted him.  Reid's shoes contained detonator wire and the plastic explosives triacetone triperoxide (TATP) and pentrite (PETN) that could have destroyed the plane if detonated.  Reid, a petty criminal who converted to Islam while in jail and was trained by al-Qa'ida, ultimately pled guilty to all charges related to the incident and was sentenced to life in prison on January 30, 2003.","Reid attempted to board a flight the previous day, the 13th anniversary of the bombing of Pan Am Flight 103 over Lockerbie, Scotland, but failed because he raised the suspicions of airline officials and border police.  Reid pled guilty to the following charges: attempted use of a weapon of mass destruction; attempted homicide; placing an explosive device on an aircraft; attempted murder; two counts of interference with flight crew and attendants; attempted destruction of an aircraft; and using a destructive device during a crime of violence.",1.0,1
2002,1,5,United States,North America,Tampa,27.947353999999997,-82.45875,Hijacking,1.0,0.0,Jihadi-inspired extremists,Business,Bank/Commerce,1,1,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,"In a suicide note written by Charles Bishop, he states: ""First of all, Osama bin Laden is absolutely justified in the terror he has caused on 9-11. He has brought a mighty nation to its knees! God blesses him and the others who helped make September 11 happen,"" ""The U.S. will have to face the consequences for its horrific actions against the Palestinian people and Iraqis by its allegiance with the monstrous Israelis who want nothing short of world domination. You will pay God help you and I will (underlined) make you pay.  There will be more coming! Al Qaeda and other organizations have met with me several times to discuss the option of me joining. I didn't.  This is an operation done by me only. I had no other help, although I am acting on their behalf.  Osama bin Laden is planning on blowing up the Super Bowl with an antiquated nuclear bomb left over from the 1967 Israeli-Syrian war.""","1/5/2002: Charles Bishop, a local 15-year-old, stole a Cessna 172R airplane and crashed it into the 28th and 29th floors of the Bank of America Building in downtown Tampa, Florida, United States.  Bishop had written a suicide letter claiming to be sympathetic with the 9/11 highjackers and Osama bin Laden, however there is no evidence that he was connected directly to any terrorist organizations.  Charles Bishop was the only one who died.  There were also no injuries as the building was evacuated before being hit by the plane.",There is doubt about Charles Bishop's mental state.  There are claims that his actions were due to psychosis induced by the drug Accutane.,1.0,1
2002,1,18,Russia,Eastern Europe,Makhachkala,42.978367999999996,47.491066,Bombing/Explosion,7.0,15.0,Rebels,Military,Military Transportation/Vehicle (excluding convoys),1,0,Explosives/Bombs/Dynamite,Remote Trigger,"Specific motive is unknown; however, authorities speculate that the assailants could have links with ""Dagestani Islamic militants who did not accept the defeat of the wahhabites in Dagestan""","1/18/2002: Dagestani rebels exploded an improvised bomb as a truck carrying Russian troops passed by in Makhachkala, Dagestan, Russia.  At least seven troops were killed in the explosion, although the rebels claim as many as 13 were killed; approximately 15 were injured.  At least 50 people were detained in connection with the incident, including former Russian parliament member Nadirshakh Khachilayev.  Khachilayev was found to be in possession of a variety of suspicious items, including torture videos and detonators.",,22.0,1
2002,1,22,India,South Asia,Kolkata,22.572646,88.363895,Bombing/Explosion,5.0,15.0,Harkatul Jihad-e-Islami,Educational Institution,School/University/Educational Building,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"01/22/2002: Two assailants affiliated with the Harkatul Jihad-e-Islamiand the Asif Raza Commandoesorganizations attacked the American Center in Calcutta, India. Five policemen died, and 15 others injured in the attack.",The attack occurred during a change of guard outside the American Center.,20.0,1
2002,1,23,Burundi,Sub-Saharan Africa,Gihanga,-3.193543,29.306158,Armed Assault,1.0,2.0,Rebels,Private Citizens & Property,Vehicles/Transportation,1,0,Incendiary,Arson/Fire,Unknown,"1/23/2002: Rebels ambushed two vehicles near Gihanga, Bubanza province, Burundi.  The assailants lit one vehicle on fire and opened fire on another; killing one person and injuring another two.  The specific motive behind the attack is unknown.",,3.0,1
2002,3,17,Pakistan,South Asia,Islamabad,33.708988,73.053857,Bombing/Explosion,5.0,46.0,Al-Qaida,Religious Figures/Institutions,Place of Worship,1,0,Explosives/Bombs/Dynamite,Grenade,Unknown,"03/17/2002: Two unidentified men threw several grenades inside the Protestant International Church in Islamabad, Pakistan, which killed five people, including two American nationals, and injured forty-six people. The assailant was suspected to have had ties with Al-Qa ida. No one officially claimed responsibility for the attack.",,51.0,1
2002,4,8,Afghanistan,South Asia,Jalalabad,34.434166999999995,70.447778,Bombing/Explosion,10.0,80.0,Al-Qaida,Government (General),"Government Personnel (excluding police, military)",0,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"04/08/2002: A bomb exploded 10 meters from the car carrying Afghan Defense Minister General Mohammad Qasim Fahim. Fahim survived, but 10 civilians were killed and approximately 80 civillians injured. Al Qa'ida later claimed responsibility.",,90.0,1
2002,4,11,Tunisia,Middle East & North Africa,Er Riadh,33.819136,10.855024,Bombing/Explosion,21.0,30.0,Al-Qaida,Religious Figures/Institutions,Place of Worship,1,1,Explosives/Bombs/Dynamite,Vehicle,Prosecutors said the April 2002 attack was carried out on the orders of Khalid Sheikh Mohammed.,"04/11/2002: At 9:35 a.m., Nizar Naouar, a Tunisian man, rammed an old Iveco tanker truck filled with 5,000 liters of liquid gas into the Ghriba synagogue on the Tunisian vacation island of Djerba. The resulting explosion killed twenty-one people, including 14 Germans, two French tourists and five Tunisians. In addition to the attacks’ casualties, the suicide bomber was also killed. Al-Qaida claimed responsibility for the attack in two televised interviews to arab language media.","One survivor stated: ""The force of the blast was so great that I couldn't hold on to my son's hand and I was hurled through the synagogue on to the floor. A huge flame flashed through the door. It flared around my son's face, burning his arms and back.""  In addition, newspaper accounts linked the following members of Al-Qaida as involved with the attack: Khalid Sheikh Mohammed, Saad Bin Ladin, Christian Ganczarski, Walid Nawar and Belgacem Nawar.  In addition, an unidentified individual was seen sprinting away from the truck before it detonated.",51.0,1
2002,4,15,Thailand,Southeast Asia,Mae Sot,16.723537,98.584374,Bombing/Explosion,7.0,27.0,Karen National Union,Transportation,Bridge/Car Tunnel,1,0,Explosives/Bombs/Dynamite,Sticky Bomb,Unknown,"04/15/2002: An explosion occurred on the Thai-Burmese Friendship Bridge connecting the towns of Mae Sot and Myawadi. The bomb was attached to a three-whelled bicycle which was used to transport people and produce over the bridge. Seven civilians were killed and approximately 27 injured. Authorities blamed the Karen National Union (KNU), though the KNU denied responsibility for the explosion.",,34.0,1
2002,4,15,Myanmar,Southeast Asia,Myawaddy,16.687778,98.508333,Bombing/Explosion,4.0,29.0,Karen National Union,Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,"Specific motive is unknown; however, authorities believe that the attack was perpetrated by Karen National Union against the pro-Rangoon Democratic Karen Buddhist Army.","4/15/2002: A bomb exploded in Myawaddy, near the Thai-Burma Friendship Bridge, Kayin State, Myanmar.  The device was attached to a rickshaw that was transporting people.  At least four people were killed in the explosion and at least another 29 people were injured.  Authorities suspect that Karen National Union is responsible for the incident; however, they deny involvement.","Two sources state that five people were killed while one source states that only four were killed.  It is also unclear whether the rickshaw was transporting people at the time of the explosion, or if it was not in use.",33.0,1
2002,5,3,United States,North America,Asbury,42.514446,-90.75151600000001,Bombing/Explosion,0.0,1.0,Anti-Government extremists,Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Explosives/Bombs/Dynamite,Pressure Trigger,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",,1.0,1
2002,5,3,United States,North America,Farley,42.443889,-91.00944399999999,Bombing/Explosion,0.0,1.0,Anti-Government extremists,Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Explosives/Bombs/Dynamite,Pressure Trigger,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",,1.0,1
2002,5,3,United States,North America,Anamosa,42.108337,-91.285159,Bombing/Explosion,0.0,1.0,Anti-Government extremists,Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Explosives/Bombs/Dynamite,Pressure Trigger,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",,1.0,1
2002,5,3,United States,North America,Bloomington,39.16659,-86.534244,Bombing/Explosion,0.0,1.0,Anti-Government extremists,Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Explosives/Bombs/Dynamite,Pressure Trigger,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",,1.0,1
